run	arm	rep	tick	abs_tick	idx	species	type	layer	ref6	quantity	quantity_max	discovered	extinct	already_removed	need_offload
20260918-011008	edge	1	16801	2032801	2984	BIRD_EMU	Animal	surface	18,23,-1,-1,-1,95	7	7	0	0	0	0
20260918-011008	edge	1	16801	2032801	2986	BIRD_EAGLE	Animal	surface	18,23,-1,-1,-1,103	21	21	0	0	0	0
20260918-011008	edge	1	16801	2032801	2998	BIRD_TURKEY	Animal	surface	18,23,-1,-1,-1,123	7	7	0	0	0	0
20260918-011008	edge	1	16801	2032801	3004	WOLF	Animal	surface	18,23,-1,-1,-1,134	7	7	0	0	0	0
20260918-011008	edge	1	16801	2032801	3005	GROUNDHOG	Animal	surface	18,23,-1,-1,-1,135	7	7	0	0	0	0
20260918-011008	edge	1	16801	2032801	3011	WILD_BOAR	Animal	surface	18,23,-1,-1,-1,159	16	16	0	0	0	0
20260918-011008	edge	1	16801	2032801	3012	KANGAROO	Animal	surface	18,23,-1,-1,-1,160	7	7	0	0	0	0
20260918-011008	edge	1	16801	2032801	3013	ADDER	Animal	surface	18,23,-1,-1,-1,161	7	7	0	0	0	0
20260918-011008	edge	1	16801	2032801	3014	ECHIDNA	Animal	surface	18,23,-1,-1,-1,162	7	7	0	0	0	0
20260918-011008	edge	1	16801	2032801	3015	KINGSNAKE	Animal	surface	18,23,-1,-1,-1,164	6	6	0	0	0	0
20260918-011008	edge	1	16801	2032801	3016	SKUNK	Animal	surface	18,23,-1,-1,-1,166	10	10	0	0	0	0
20260918-011008	edge	1	16801	2032801	3017	WEASEL	Animal	surface	18,23,-1,-1,-1,170	22	22	0	0	0	0
20260918-011008	edge	1	16801	2032801	3018	OPOSSUM	Animal	surface	18,23,-1,-1,-1,174	7	7	0	0	0	0
20260918-011008	edge	1	16801	2032801	3019	CRETACEOUS_CARNOTAURUS	Animal	surface	18,23,-1,-1,-1,198	3	3	0	0	0	0
20260918-011008	edge	1	16801	2032801	3022	FISH_MILKFISH	Animal	feature	18,23,0,-1,-1,0	85	85	0	0	0	0
20260918-011008	edge	1	16801	2032801	3023	HIPPO	Animal	feature	18,23,0,-1,-1,1	150	150	0	0	0	0
20260918-011008	edge	1	16801	2032801	3024	ALLIGATOR	Animal	feature	18,23,0,-1,-1,2	40	40	0	0	0	0
20260918-011008	edge	1	16801	2032801	3025	RIVER OTTER	Animal	feature	18,23,0,-1,-1,3	90	90	0	0	0	0
20260918-011008	edge	1	16801	2032801	3026	PLATYPUS	Animal	feature	18,23,0,-1,-1,4	150	150	0	0	0	0
20260918-011008	edge	1	16801	2032801	3027	FISH_CARP	Animal	feature	18,23,0,-1,-1,5	95	95	0	0	0	0
20260918-011008	edge	1	16801	2032801	3028	FISH_TIGERFISH	Animal	feature	18,23,0,-1,-1,6	105	105	0	0	0	0
20260918-011008	edge	1	16801	2032801	3041	POND_GRABBER	Animal	cavern	18,23,-1,4,-1,8	16	16	0	0	0	0
20260918-011008	edge	1	16801	2032801	3042	TOAD_GIANT_CAVE	Animal	cavern	18,23,-1,4,-1,9	12	12	0	0	0	0
20260918-011008	edge	1	16801	2032801	3043	OLM_GIANT	Animal	cavern	18,23,-1,4,-1,10	18	18	0	0	0	0
20260918-011008	edge	1	16801	2032801	3044	CROCODILE_CAVE	Animal	cavern	18,23,-1,4,-1,11	10	10	0	0	0	0
20260918-011008	edge	1	16801	2032801	3049	RAT_LARGE	Animal	cavern	18,23,-1,4,-1,16	9	9	0	0	0	0
